id,description,display_name,free_text,display,facet_filter,variant,variant_pair
1,Country of Origin,Country of Origin,0,TRUE,FALSE,TRUE,FALSE
3,old_Baby Kid Clothing Size,Size,0,TRUE,TRUE,TRUE,FALSE
4,Material Type,Material,0,TRUE,TRUE,TRUE,FALSE
5,Import Designation,Import Designation,0,TRUE,FALSE,TRUE,FALSE
7,Fuel Type,Fuel Type,0,TRUE,TRUE,TRUE,FALSE
8,Product Form,Form,0,FALSE,FALSE,TRUE,FALSE
9,ESRB Rating,ESRB Rating,0,TRUE,TRUE,TRUE,FALSE
11,Towel Size,Towel Size,0,TRUE,TRUE,TRUE,FALSE
12,Sheet Type,Sheet Type,0,TRUE,TRUE,TRUE,FALSE
13,Pillow Size,Pillow Size,0,TRUE,TRUE,TRUE,FALSE
14,Light Source Type,Light Source,0,TRUE,TRUE,TRUE,FALSE
15,D̩cor Style,Style,0,TRUE,TRUE,TRUE,FALSE
16,Instrument Size,Instrument Size,0,TRUE,FALSE,TRUE,FALSE
17,Fixture Finish Type,Finish,0,TRUE,TRUE,TRUE,FALSE
18,Game Genre,Genre,0,TRUE,TRUE,TRUE,FALSE
19,Book Format,Format,0,TRUE,TRUE,TRUE,FALSE
20,Music Format,Format,0,TRUE,TRUE,TRUE,FALSE
21,Software Format,Format,0,TRUE,TRUE,TRUE,FALSE
23,Mitt Type,Mitt Type,0,TRUE,TRUE,TRUE,FALSE
24,Printer Type,Printer Type,0,TRUE,TRUE,TRUE,FALSE
25,Calculator Type,Calculator Type,0,TRUE,TRUE,TRUE,FALSE
26,Scanner Type,Scanner Type,0,TRUE,TRUE,TRUE,FALSE
27,Microwave Type,Microwave Type,0,TRUE,TRUE,TRUE,FALSE
28,Baby Carrier Type,Carrier Type,0,TRUE,TRUE,TRUE,FALSE
29,Breast Pump Type,Breast Pump Type,0,TRUE,TRUE,TRUE,FALSE
30,Language,Language,0,TRUE,TRUE,TRUE,FALSE
31,Age Range,Age Range,0,TRUE,FALSE,TRUE,FALSE
32,Age Group,Age Group,0,TRUE,TRUE,TRUE,FALSE
33,Target Audience,Target Audience,0,FALSE,FALSE,TRUE,FALSE
34,Gender,Genders,0,FALSE,FALSE,TRUE,FALSE
35,Battery Type,Battery Type,0,TRUE,TRUE,TRUE,FALSE
36,Health & Beauty Item Form,Form,0,TRUE,FALSE,TRUE,FALSE
37,Health & Beauty Specialty,Specialty,0,FALSE,TRUE,TRUE,FALSE
38,Fill Material,Fill Material,0,TRUE,TRUE,TRUE,FALSE
39,Media Storage Capacity,Storage Capacity,1,TRUE,FALSE,TRUE,FALSE
41,Device Compatibility,Device Compatibility,0,TRUE,TRUE,TRUE,FALSE
44,Power Source,Power Source,0,TRUE,TRUE,TRUE,FALSE
45,Width,Width,1,TRUE,FALSE,TRUE,FALSE
46,Weight or Volume,Size,2,TRUE,FALSE,TRUE,FALSE
47,Film Speed,Film Speed,0,TRUE,TRUE,TRUE,FALSE
48,Film Color,Film Color,0,TRUE,TRUE,TRUE,FALSE
49,Furniture Finish Map,Finish,0,TRUE,TRUE,TRUE,FALSE
50,Size - Free Text,Size,1,TRUE,FALSE,TRUE,FALSE
51,Mirror Style,Mirror Style,0,TRUE,TRUE,TRUE,FALSE
52,Drinking Glass Type,Glass Type,0,FALSE,TRUE,TRUE,FALSE
53,Camera Lens Type,Lens Type,0,TRUE,TRUE,TRUE,FALSE
54,Optical Zoom,Optical Zoom,1,TRUE,FALSE,TRUE,FALSE
55,Clock Type,Clock Type,0,TRUE,FALSE,TRUE,FALSE
56,Mattress Type,Mattress Type,0,TRUE,TRUE,TRUE,FALSE
57,Knitting Needle Size,Knitting Needle Size,0,TRUE,TRUE,TRUE,FALSE
58,Crochet Hook Size,Crochet Hook Size,0,TRUE,TRUE,TRUE,FALSE
59,Screen Size,Screen Size,1,TRUE,FALSE,TRUE,FALSE
60,Paper Size,Paper Size,0,TRUE,TRUE,TRUE,FALSE
61,Fish Type,Fish Type,0,TRUE,TRUE,TRUE,FALSE
62,Pet Food Form,Pet Food Form,0,TRUE,TRUE,TRUE,FALSE
63,Baby Stage,Stage,0,TRUE,TRUE,TRUE,FALSE
64,Formula Type,Formula Type,0,TRUE,TRUE,TRUE,FALSE
65,Wattage,Wattage,1,TRUE,FALSE,TRUE,FALSE
66,Home Theater System Channels,Channels,1,TRUE,TRUE,TRUE,FALSE
67,Watts Per Channel,Watts Per Channel,2,TRUE,FALSE,TRUE,FALSE
68,Tuner Type,Tuner Type,0,TRUE,TRUE,TRUE,FALSE
69,Refrigerator Style,Refrigerator Style,0,TRUE,TRUE,TRUE,FALSE
70,Appliance Capacity,Capacity,1,TRUE,FALSE,TRUE,FALSE
71,Laundry Type,Laundry Type,0,TRUE,TRUE,TRUE,FALSE
72,Coverage Unit of Measure,Coverage,1,TRUE,FALSE,TRUE,FALSE
73,Fan Type,Fan Type,0,FALSE,TRUE,TRUE,FALSE
74,Range Installation Type,Range Installation Type,0,FALSE,TRUE,TRUE,FALSE
75,Yarn Fiber,Yarn Fiber,0,FALSE,TRUE,TRUE,FALSE
76,Item Volume,Volume,2,TRUE,FALSE,TRUE,FALSE
79,Bra Size,Bra Size,0,TRUE,FALSE,TRUE,FALSE
80,Shoe Width,Shoe Width,0,FALSE,FALSE,TRUE,FALSE
81,Diaper Size Map,Diaper Size,0,FALSE,TRUE,TRUE,FALSE
82,old_Kids Clothing Size,Kids Clothing Size,0,TRUE,FALSE,TRUE,FALSE
83,Kids Shoe Sizes,Kids Shoe Sizes,0,TRUE,FALSE,TRUE,FALSE
84,Alpha Women's Regular Size,Women's Regular Size,0,TRUE,FALSE,TRUE,FALSE
85,old_Men's General Regular Size,Size,0,TRUE,FALSE,TRUE,FALSE
86,Men's Pant Size,Men's Pant Size,0,TRUE,FALSE,TRUE,FALSE
87,Men's Dress Shirt Size,Men's Dress Shirt Size,0,TRUE,FALSE,TRUE,FALSE
88,Product Material,Material,0,FALSE,TRUE,TRUE,FALSE
89,Pet Life Stage,Life Stage,0,FALSE,FALSE,TRUE,FALSE
90,Sheet Material,Material,0,FALSE,TRUE,TRUE,FALSE
91,Bag Style,Bag Style,0,FALSE,TRUE,TRUE,FALSE
93,Stone,Stone,0,FALSE,TRUE,TRUE,FALSE
94,Hair Color,Hair Color,1,TRUE,FALSE,TRUE,FALSE
95,Count Size,Count,2,TRUE,FALSE,TRUE,FALSE
96,# of Players,# of Players,0,TRUE,TRUE,TRUE,FALSE
97,Women's Shoe Size,Women's Shoe Size,0,TRUE,FALSE,TRUE,FALSE
98,Men's Shoe Size,Men's Shoe Size,0,TRUE,FALSE,TRUE,FALSE
99,Appliance Color Map,Appliance Color,0,FALSE,TRUE,TRUE,FALSE
100,Furniture Material,Material,0,FALSE,TRUE,TRUE,FALSE
101,Bird Type,Bird Type,0,FALSE,TRUE,TRUE,FALSE
102,Small Animal Type,Small Animal Type,0,FALSE,TRUE,TRUE,FALSE
103,Reptile type,Reptile Type,0,FALSE,TRUE,TRUE,FALSE
104,Pet Food Special Diet,Special Diet,0,FALSE,FALSE,TRUE,FALSE
105,Special Sizes,Special Sizes,0,TRUE,TRUE,TRUE,FALSE
106,Kids Shoe Width,Kids Shoe Width,0,FALSE,FALSE,TRUE,FALSE
107,Video Format,Video Format,0,TRUE,TRUE,TRUE,FALSE
108,MPAA Rating,MPAA Rating,0,TRUE,TRUE,TRUE,FALSE
109,Subtitle Language,Subtitle Language,0,TRUE,TRUE,TRUE,FALSE
110,Audio Encoding Language,Audio Encoding Language,0,TRUE,TRUE,TRUE,FALSE
111,Adult Product,Adult Product,0,FALSE,FALSE,TRUE,FALSE
112,Movie & TV Genre,Genre,0,TRUE,TRUE,TRUE,FALSE
113,Suit or Sport Coat Size,Suit Size,0,TRUE,FALSE,TRUE,FALSE
114,Generic Size- free text with units,Size,2,FALSE,FALSE,TRUE,FALSE
115,Dog Size,Dog Size,2,TRUE,TRUE,TRUE,FALSE
116,"Generic Sizes (S,M, L, etc)",Size,0,FALSE,FALSE,TRUE,FALSE
117,Flavor,Flavor,1,TRUE,FALSE,TRUE,FALSE
118,Fragrance,Fragrance,1,TRUE,FALSE,TRUE,FALSE
119,Color,Color,1,TRUE,FALSE,TRUE,FALSE
120,Nursery Furniture Type,Type,0,FALSE,TRUE,TRUE,FALSE
121,Finish,Finish,1,TRUE,FALSE,TRUE,FALSE
122,Appliance Color,Appliance Color,1,TRUE,FALSE,TRUE,FALSE
123,Length,Length,2,TRUE,FALSE,TRUE,FALSE
124,Height,Height,2,TRUE,FALSE,TRUE,FALSE
125,Diaper Size,Diaper Size,1,TRUE,FALSE,TRUE,FALSE
126,BTU,BTUs,2,TRUE,FALSE,TRUE,FALSE
127,Threadcount,Threadcount,1,TRUE,FALSE,TRUE,FALSE
128,Megapixels,Megapixels,1,TRUE,FALSE,TRUE,FALSE
129,Furniture Finish,Furniture Finish,1,TRUE,FALSE,TRUE,FALSE
130,Monitor Type,Monitor Type,0,FALSE,TRUE,TRUE,FALSE
131,Service Plan,Service Plan,1,TRUE,TRUE,TRUE,FALSE
132,Warranty Plan,Warranty Plan,1,TRUE,FALSE,TRUE,FALSE
133,Alpha Women's General Maternity Size,Women's General Maternity Size,0,FALSE,FALSE,TRUE,FALSE
134,GPS Feature,GPS Feature,1,TRUE,FALSE,TRUE,FALSE
135,Connectivity Type,Connectivity Type,0,FALSE,TRUE,TRUE,FALSE
136,Hand Tool Type,Hand Tool Type,0,FALSE,FALSE,TRUE,FALSE
137,Power Tool Type,Power Tool Type,0,FALSE,FALSE,TRUE,FALSE
138,Hardware Finish Type,Hardware Finish Type,0,FALSE,TRUE,TRUE,FALSE
139,Door Entry Side,Door Entry Side,0,TRUE,TRUE,TRUE,FALSE
140,Ring Size,Ring Size,0,TRUE,FALSE,TRUE,FALSE
141,Platform,Gaming Platform,0,TRUE,TRUE,TRUE,FALSE
142,Bike Wheel Size,Bike Wheel Size,0,TRUE,FALSE,TRUE,FALSE
143,Lens Color,Lens Color,1,TRUE,FALSE,TRUE,FALSE
144,Airsoft Gun & Rifle Velocity,Airsoft Gun & Rifle Velocity,1,TRUE,FALSE,TRUE,FALSE
145,Baseball Type,Baseball Type,0,FALSE,TRUE,TRUE,FALSE
146,Bat Size,Bat Size,0,TRUE,FALSE,TRUE,FALSE
147,Baseball Glove Size,Glove Size,0,TRUE,FALSE,TRUE,FALSE
148,Baseball Throwing Hand,Throwing Hand,0,TRUE,TRUE,TRUE,FALSE
149,Type of Protective Gear,Type of Protective Gear,0,FALSE,TRUE,TRUE,FALSE
150,Softball Type,Softball Type,0,FALSE,TRUE,TRUE,FALSE
151,Team,Team,1,TRUE,FALSE,TRUE,FALSE
152,Dimensional Size- built from Length X Width X Height,Size,1,TRUE,FALSE,TRUE,FALSE
153,Diameter,Diameter,2,TRUE,FALSE,TRUE,FALSE
154,Bowling Ball Size,Bowling Ball Size,0,TRUE,FALSE,TRUE,FALSE
155,Football Size,Football Size,0,TRUE,TRUE,TRUE,FALSE
156,Golf Club Type,Golf Club Type,0,TRUE,TRUE,TRUE,FALSE
157,Hand Orientation,Hand Orientation,0,TRUE,TRUE,TRUE,FALSE
158,Tennis Raquet Grip Size,Tennis Raquet Grip Size,0,TRUE,FALSE,TRUE,FALSE
159,Tennis Raquet Head Size,Tennis Raquet Head Size,0,TRUE,FALSE,TRUE,FALSE
160,Rug Size,Rug Size,0,TRUE,TRUE,TRUE,FALSE
161,Rug Material,Rug Material,0,TRUE,TRUE,TRUE,FALSE
162,Sink Style,Sink Style,0,TRUE,TRUE,TRUE,FALSE
163,Cookware Material,Cookware Material,0,TRUE,TRUE,TRUE,FALSE
164,Contract Type,Contract Type,0,TRUE,TRUE,TRUE,FALSE
165,Cell Phone Carrier,Carrier,0,TRUE,TRUE,TRUE,FALSE
166,Phone Operating System,Phone Operating System,0,TRUE,TRUE,TRUE,FALSE
167,Television Refresh Rate,Refresh Rate,0,TRUE,TRUE,TRUE,FALSE
168,Display Type,Display Type,0,TRUE,TRUE,TRUE,FALSE
169,Decor Material,Material,0,TRUE,TRUE,TRUE,FALSE
171,Make,Make,1,TRUE,FALSE,TRUE,FALSE
172,Model,Model,1,TRUE,FALSE,TRUE,FALSE
173,"Year - Display, Free Text",Year,1,TRUE,FALSE,TRUE,FALSE
174,Camera Filter Diameter,Camera Filter Diameter,2,TRUE,FALSE,TRUE,FALSE
176,Wiring Type,Wiring Type,0,TRUE,TRUE,TRUE,FALSE
177,Sleeping Bag Temperature Rating,Sleeping Bag Temperature Rating,1,TRUE,FALSE,TRUE,FALSE
178,Brightness,Brightness,1,TRUE,FALSE,TRUE,FALSE
179,Tent Capacity,Tent Capacity,0,TRUE,TRUE,TRUE,FALSE
181,Wireless Standard,Wireless Standard,0,TRUE,TRUE,TRUE,FALSE
182,Transmission Speed,Transmission Speed,1,TRUE,FALSE,TRUE,FALSE
183,Processor Speed,Processor Speed,2,TRUE,FALSE,TRUE,FALSE
197,Purifier Type,Purifier Type,1,TRUE,TRUE,TRUE,FALSE
219,Hard Drive Size (OLD),Hard Drive Size,2,TRUE,FALSE,TRUE,FALSE
225,# of Pieces,# of Pieces,1,TRUE,FALSE,TRUE,FALSE
264,Numeric Women's Petite Size,Women's Petite Size,0,TRUE,FALSE,TRUE,FALSE
266,Dishwasher Installation Type,Installation Type,0,TRUE,TRUE,TRUE,FALSE
267,Wine Cellar Capacity,Wine Cellar Capacity,1,TRUE,FALSE,TRUE,FALSE
268,Activity,Activity,0,FALSE,TRUE,TRUE,FALSE
269,Art Style,Art Style,0,FALSE,TRUE,TRUE,FALSE
270,Award Winners,Award Winners,0,FALSE,TRUE,TRUE,FALSE
271,Watch Band Material,Watch Band Material,0,FALSE,TRUE,TRUE,FALSE
273,Kids' Shoe Size - length only,Kids' Shoe Size,0,FALSE,TRUE,TRUE,FALSE
275,old_Men Size,Men Size,0,FALSE,TRUE,TRUE,FALSE
276,old_Kid Size,Kid Size,0,FALSE,TRUE,TRUE,FALSE
279,Bike Capacity,Bike Capacity,0,FALSE,TRUE,TRUE,FALSE
282,Certifications,Certifications,0,FALSE,TRUE,TRUE,FALSE
283,Connector Type,Connector Type,0,FALSE,TRUE,TRUE,FALSE
285,Designer,Designer,1,FALSE,TRUE,TRUE,FALSE
286,Dietary Needs,Dietary Needs,0,FALSE,TRUE,TRUE,FALSE
287,Grade Level,Grade Level,0,FALSE,TRUE,TRUE,FALSE
288,Grit Size,Grit Size,0,FALSE,TRUE,TRUE,FALSE
289,Hair Care Attribute,Hair Care Attribute,0,FALSE,TRUE,TRUE,FALSE
290,Hubcap Size,Hubcap Size,0,TRUE,TRUE,TRUE,FALSE
291,Inseam,Inseam,0,FALSE,TRUE,TRUE,FALSE
292,League,League,0,FALSE,TRUE,TRUE,FALSE
293,Lens Mount Compatibility,Lens Mount Compatibility,0,FALSE,TRUE,TRUE,FALSE
295,Men's Regular Waist Size,Men's Regular Waist Size,0,FALSE,TRUE,TRUE,FALSE
296,Model Year,Model Year,0,FALSE,TRUE,TRUE,FALSE
297,Needle Type,Needle Type,0,FALSE,TRUE,TRUE,FALSE
298,Occasion,Occasion,0,FALSE,FALSE,TRUE,FALSE
299,OEM/Compatible,OEM/Compatible,0,FALSE,TRUE,TRUE,FALSE
300,Pattern,Pattern,0,FALSE,TRUE,TRUE,FALSE
301,Platform Support,Platform Support,0,FALSE,TRUE,TRUE,FALSE
303,RAM Technology,RAM Technology,0,FALSE,TRUE,TRUE,FALSE
306,Rim Size,Rim Size,0,FALSE,TRUE,TRUE,FALSE
307,Stroller Seating Capacity,Seating Capacity,0,FALSE,TRUE,TRUE,FALSE
308,Shoe Style,Shoe Style,0,FALSE,TRUE,TRUE,FALSE
310,Skin Type,Skin Type,0,FALSE,FALSE,TRUE,FALSE
311,Theme,Theme,0,FALSE,TRUE,TRUE,FALSE
312,US States & Regions,US States & Regions,0,FALSE,TRUE,TRUE,FALSE
313,Vacuum Cleaner Features,Vacuum Cleaner Features,0,FALSE,TRUE,TRUE,FALSE
314,Vehicle Type,Vehicle Type,0,FALSE,TRUE,TRUE,FALSE
317,"Year - Facet Filter, Value",Year,0,FALSE,TRUE,TRUE,FALSE
318,Depth,Depth,1,TRUE,FALSE,TRUE,FALSE
43984840312887,tension level,Tension Supported,1,FALSE,FALSE,TRUE,FALSE
43984841697296,maximum size,Maximum Size,1,FALSE,FALSE,TRUE,FALSE
43984848490626,vehicle speaker size,Vehicle Speaker Size,1,FALSE,FALSE,TRUE,FALSE
43984858380839,item shape,Item Shape,1,FALSE,FALSE,TRUE,FALSE
43984859044444,magnification strength,Magnification Strength,1,FALSE,FALSE,TRUE,FALSE
43984859053743,platform for display,Display Platform,1,FALSE,FALSE,TRUE,FALSE
43984867739000,golf club loft,Loft,1,FALSE,FALSE,TRUE,FALSE
43984868016650,configuration,Configuration,1,FALSE,FALSE,TRUE,FALSE
43984885052616,speakers maximum output power,Speaker Maximum Output Power,1,FALSE,FALSE,TRUE,FALSE
43984887979890,lens width,Lens Width,1,FALSE,FALSE,TRUE,FALSE
43984903758222,amperage,Amperage,1,FALSE,FALSE,TRUE,FALSE
43984903761407,number of items,Number of Items,1,FALSE,FALSE,TRUE,FALSE
43984903763619,size per pearl,Pearl Size,1,FALSE,FALSE,TRUE,FALSE
43984903765725,speaker system class,Speaker System Class,1,FALSE,FALSE,TRUE,FALSE
43984903767658,grip size,Grip Size,1,FALSE,FALSE,TRUE,FALSE
43984903769876,action,Action,1,FALSE,FALSE,TRUE,FALSE
43984903771858,service plan term,Service Plan Term,1,FALSE,FALSE,TRUE,FALSE
43984903773781,edition,Edition,1,FALSE,FALSE,TRUE,FALSE
43984903777491,total diamond weight,Total Diamond Weight,1,FALSE,FALSE,TRUE,FALSE
43984903783238,metal type,Metal Type,1,FALSE,FALSE,TRUE,FALSE
43984917669689,curvature,Curvature,1,FALSE,FALSE,TRUE,FALSE
43984917672495,Amplifier Output Power,Power Output,1,FALSE,FALSE,TRUE,FALSE
43984917674438,preamplifier output channel quantity,Preamplifier Output Channel Quantity,1,FALSE,FALSE,TRUE,FALSE
43984917676278,age gender category,Age/Gender,1,FALSE,FALSE,TRUE,FALSE
43984917678067,service plan covered value,Service Plan Covered Value,1,FALSE,FALSE,TRUE,FALSE
43984917679839,golf club flex,Flex,1,FALSE,FALSE,TRUE,FALSE
43984917681513,feet type,Feet Type,1,FALSE,FALSE,TRUE,FALSE
43984917684370,inferred variation dimension 1,Options,1,FALSE,FALSE,TRUE,FALSE
43984917686825,edge style,Edge Style,1,FALSE,FALSE,TRUE,FALSE
43984917690368,metal stamp,Metal Stamp,1,FALSE,FALSE,TRUE,FALSE
43984929292567,shaft material type,Shaft Material,1,FALSE,FALSE,TRUE,FALSE
43984929294914,leg style,Leg Style,1,FALSE,FALSE,TRUE,FALSE
43984929296882,initial character,Initial,1,FALSE,FALSE,TRUE,FALSE
43984929298231,voice coil description,Voice Coil,1,FALSE,FALSE,TRUE,FALSE
43984929300218,item thickness string,Item Thickness,1,FALSE,FALSE,TRUE,FALSE
43984929302312,thread size,Thread Size,1,FALSE,FALSE,TRUE,FALSE
43984937939148,fabric type,Fabric Type,1,FALSE,FALSE,TRUE,FALSE
124309014198622,Cell Phone Internal Storage Capacity,Internal Storage Capacity,2,TRUE,FALSE,TRUE,FALSE
124340313566418,Battery Capacity,Battery Capacity,2,TRUE,FALSE,TRUE,FALSE
124340313819098,Compatible Game Consoles,Compatible Game Consoles,0,TRUE,TRUE,TRUE,FALSE
124340314016929,Crossover Channel Qty,Crossover Channel Qty,0,TRUE,FALSE,TRUE,FALSE
124340314244049,Audio System Designed For,Audio System Designed For,0,TRUE,TRUE,TRUE,FALSE
124340314460257,Optical Drive Type,Optical Drive Type,0,TRUE,FALSE,TRUE,FALSE
124340314681431,Lens Focal Length,Lens Focal Length,0,TRUE,TRUE,TRUE,FALSE
124340314906323,Graphics Processor,Graphics Processor,0,TRUE,FALSE,TRUE,FALSE
124340315093582,Appliance Max Power Consumption,Appliance Max Power Consumption,2,TRUE,FALSE,TRUE,FALSE
124340315292575,Printing Speed B/W,Printing Speed B/W,2,TRUE,FALSE,TRUE,FALSE
124340315484434,Printing Speed Color,Printing Speed Color,2,TRUE,FALSE,TRUE,FALSE
124340315682897,Printing Resolution B&W,Printing Resolution B&W,0,TRUE,FALSE,TRUE,FALSE
124340315874017,Printing Resolution Color,Printing Resolution Color,0,TRUE,FALSE,TRUE,FALSE
124340316203882,Video Input Max Resolution,Video Input Max Resolution,0,TRUE,FALSE,TRUE,FALSE
124340316463296,Number of Cores,Number of Cores,0,TRUE,TRUE,TRUE,FALSE
124340316662193,Output Channel Qty,Output Channel Qty,0,TRUE,TRUE,TRUE,FALSE
124340316930217,Power Output Connector Type,Power Output Connector Type,0,TRUE,FALSE,TRUE,FALSE
124340317134637,Amplifier Output Power,Amplifier Output Power,2,TRUE,FALSE,TRUE,FALSE
124340317334475,Printing Output Type,Printing Output Type,0,TRUE,TRUE,TRUE,FALSE
124340317522545,Battery Run Time,Battery Run Time,2,TRUE,FALSE,TRUE,FALSE
124340317708185,Number of Channels,Number of Channels,0,TRUE,FALSE,TRUE,FALSE
124340317907249,Operating System/ Version,Operating System/ Version,0,TRUE,FALSE,TRUE,FALSE
124340318107986,Computer Processor Type,Computer Processor Type,0,TRUE,TRUE,TRUE,FALSE
124340318326280,EPEAT Level,EPEAT Level,0,TRUE,FALSE,TRUE,FALSE
125331343892421,Audio System Max Output Power,Audio System Max Output Power,2,TRUE,FALSE,TRUE,FALSE
137888611574705,Alpha Women's General Size,Women's General Size,0,TRUE,FALSE,TRUE,FALSE
137888611790298,Alpha Women's General Petite Size,Women's General Petite Size,0,FALSE,FALSE,TRUE,FALSE
137888612003538,Alpha Women's General Plus Size,Women's General Plus Size,0,FALSE,FALSE,TRUE,FALSE
137888613039291,Numeric Women's Petite Waist Size,Women's Petite Waist Size,0,FALSE,FALSE,TRUE,FALSE
137888613431097,Alpha Women's General Tall Size,Women's General Tall Size,0,FALSE,FALSE,TRUE,FALSE
138082809784266,Numeric Big & Tall Suit Size,Big & Tall Suit Size,0,TRUE,TRUE,TRUE,FALSE
141512836287863,Alpha Baby Generic Sizes,Baby Sizes,0,TRUE,FALSE,TRUE,FALSE
141512836605137,Alpha Big Boy Generic Size,Big Boy Size,0,FALSE,FALSE,TRUE,FALSE
141512836812643,Numeric Big Boy Size,Big Boy Size,0,FALSE,FALSE,TRUE,FALSE
141512837013205,Boys Slim Size,Boys Slim Size,0,TRUE,FALSE,TRUE,FALSE
141512837233328,Boys Husky Size,Boys Husky Size,0,TRUE,FALSE,TRUE,FALSE
141512837420648,Alpha Little Girl Generic Size,Little Girl Size,0,FALSE,FALSE,TRUE,FALSE
141512837824708,Numeric Little Girl Size,Little Girl Size,0,FALSE,FALSE,TRUE,FALSE
141512838032805,Alpha Big Girl Generic Size,Big Girl Size,0,TRUE,FALSE,TRUE,FALSE
141512838225188,Numeric Big Girl Size,Big Girl Size,0,TRUE,FALSE,TRUE,FALSE
141512838456741,Girls Slim Size,Girls Slim Size,0,TRUE,FALSE,TRUE,FALSE
141512838712104,Girls Plus Size,Girls Plus Size,0,TRUE,FALSE,TRUE,FALSE
142193437641974,Numeric Boys Slim Size,Boys Slim Size,0,TRUE,TRUE,TRUE,FALSE
142193437837481,Numeric Boys Husky Size,Boys Husky Size,0,TRUE,TRUE,TRUE,FALSE
142193438049251,Little Girl Generic Size,Little Girl Generic Size,0,FALSE,TRUE,TRUE,FALSE
142193438454779,Big Girl Generic Size,Big Girl Generic Size,0,TRUE,TRUE,TRUE,FALSE
142193438638289,Numeric Big Girl Size,Big Girl Size,0,TRUE,TRUE,TRUE,FALSE
142193439332293,Numeric Girls Slim Size,Girls Slim Size,0,TRUE,TRUE,TRUE,FALSE
142193439524389,Numeric Girls Plus Size,Girls Plus Size,0,TRUE,TRUE,TRUE,FALSE
142193439953582,Numeric Toddler Shoe Size,Toddler Shoe Size,0,TRUE,TRUE,TRUE,FALSE
142193440163384,Numeric Little Kids Shoe Size,Little Kids Shoe Size,0,FALSE,TRUE,TRUE,FALSE
142193440353778,Numeric Big Kids Shoe Size,Big Kids Shoe Size,0,TRUE,TRUE,TRUE,FALSE
144023348954600,Men's General Regular Size,Men's General Regular Size,0,TRUE,FALSE,TRUE,FALSE
144035468902662,Alpha Little Boy Generic Size,Little Boy Generic Size,0,FALSE,FALSE,TRUE,FALSE
144095067196554,Alpha General Big & Tall Size,General Big & Tall Size,0,FALSE,FALSE,TRUE,FALSE
144100031912172,Numeric Little Boy Size,Little Boy Size,0,FALSE,FALSE,TRUE,FALSE
147701587601348,Club,Club,0,FALSE,FALSE,TRUE,FALSE
196984556345971,Instrument Style,Style,1,FALSE,FALSE,TRUE,FALSE
234862620841227,Number of pages,Number of pages,1,TRUE,FALSE,TRUE,FALSE